name,year,rating,length,reviews
The Grapes of Wrath,1940,8.1,2h 9m,100K
To Be or Not to Be,1942,8.1,1h 39m,43K
Groundhog Day,1993,8.0,1h 41m,683K
Amores perros,2000,8.1,2h 34m,252K
Rebecca,1940,8.1,2h 10m,146K
Cool Hand Luke,1967,8.1,2h 7m,188K
The Iron Giant,1999,8.1,1h 26m,226K
The Help,2011,8.1,2h 26m,491K
It Happened One Night,1934,8.1,1h 45m,112K
Aladdin,1992,8.0,1h 30m,464K
Dances with Wolves,1990,8.0,3h 1m,289K
"Paris, Texas",1984,8.1,2h 25m,118K
